,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
0,489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,31.037827352085355,12/1/2009 7:45,6.95,13085.0,United Kingdom
1,489434,79323P,PINK CHERRY LIGHTS,12.0,12/1/2009 7:45,6.75,13085.0,United Kingdom
2,489434,79323W, WHITE CHERRY LIGHTS,31.037827352085355,12/1/2009 7:45,6.75,13085.0,United Kingdom
3,489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48.0,12/1/2009 7:45,1.69,13085.0,United Kingdom
4,489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24.0,12/1/2009 7:45,1.25,13085.0,United Kingdom
5,489434,22064,PINK DOUGHNUT TRINKET POT ,24.0,12/1/2009 7:45,1.65,13085.0,United Kingdom
6,489434,21871,SAVE THE PLANET MUG,31.037827352085355,12/1/2009 7:45,1.25,13085.0,United Kingdom
7,489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10.0,12/1/2009 7:45,5.95,13085.0,United Kingdom
8,489435,22350,CAT BOWL ,12.0,12/1/2009 7:46,2.55,13085.0,United Kingdom
9,489435,22349,"DOG BOWL , CHASING BALL DESIGN",12.0,12/1/2009 7:46,3.75,13085.0,United Kingdom
10,489435,22195,HEART MEASURING SPOONS LARGE,24.0,12/1/2009 7:46,1.65,13085.0,United Kingdom
11,489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12.0,12/1/2009 7:46,2.55,13085.0,United Kingdom
12,489436,48173C,DOOR MAT BLACK FLOCK ,10.0,12/1/2009 9:06,5.95,13078.0,United Kingdom
13,489436,21755,LOVE BUILDING BLOCK WORD,18.0,12/1/2009 9:06,5.45,13078.0,United Kingdom
14,489436,21754,HOME BUILDING BLOCK WORD,3.0,12/1/2009 9:06,5.95,13078.0,United Kingdom
15,489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16.0,12/1/2009 9:06,1.69,13078.0,United Kingdom
16,489436,22119, PEACE WOODEN BLOCK LETTERS,3.0,12/1/2009 9:06,6.95,13078.0,United Kingdom
17,489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12.0,12/1/2009 9:06,1.45,13078.0,United Kingdom
18,489436,22296,HEART IVORY TRELLIS LARGE,12.0,12/1/2009 9:06,1.65,13078.0,United Kingdom
19,489436,22295,HEART FILIGREE DOVE LARGE,12.0,12/1/2009 9:06,1.65,13078.0,United Kingdom
20,489436,22109,FULL ENGLISH BREAKFAST PLATE,16.0,12/1/2009 9:06,3.39,13078.0,United Kingdom
21,489436,22107,PIZZA PLATE IN BOX,4.0,12/1/2009 9:06,3.75,13078.0,United Kingdom
22,489436,22194,BLACK DINER WALL CLOCK,2.0,12/1/2009 9:06,1.69,13078.0,United Kingdom
23,489436,35004B,SET OF 3 BLACK FLYING DUCKS,12.0,12/1/2009 9:06,4.65,13078.0,United Kingdom
24,489436,82582,AREA PATROLLED METAL SIGN,12.0,12/1/2009 9:06,2.1,13078.0,United Kingdom
25,489436,21181,PLEASE ONE PERSON  METAL SIGN,12.0,12/1/2009 9:06,2.1,13078.0,United Kingdom
26,489436,21756,BATH BUILDING BLOCK WORD,3.0,12/1/2009 9:06,5.95,13078.0,United Kingdom
27,489436,21333,CLASSIC WHITE FRAME,6.0,12/1/2009 9:06,2.95,13078.0,United Kingdom
28,489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8.0,12/1/2009 9:06,1.25,13078.0,United Kingdom
29,489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8.0,12/1/2009 9:06,1.25,13078.0,United Kingdom
30,489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24.0,12/1/2009 9:06,4.25,13078.0,United Kingdom
31,489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6.0,12/1/2009 9:08,2.1,15362.0,United Kingdom
32,489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6.0,12/1/2009 9:08,2.1,15362.0,United Kingdom
33,489437,22130,PARTY CONE CHRISTMAS DECORATION ,12.0,12/1/2009 9:08,0.85,15362.0,United Kingdom
34,489437,21364,PEACE SMALL WOOD LETTERS,2.0,12/1/2009 9:08,6.75,15362.0,United Kingdom
35,489437,21360,JOY LARGE WOOD LETTERS,31.037827352085355,12/1/2009 9:08,9.95,15362.0,United Kingdom
36,489437,21351,CINAMMON & ORANGE WREATH,31.037827352085355,12/1/2009 9:08,6.75,15362.0,United Kingdom
37,489437,21352,EUCALYPTUS & PINECONE  WREATH,31.037827352085355,12/1/2009 9:08,6.75,15362.0,United Kingdom
38,489437,35400,WOODEN BOX ADVENT CALENDAR ,31.037827352085355,12/1/2009 9:08,8.95,15362.0,United Kingdom
39,489437,20695,FLORAL BLUE MONSTER,3.0,12/1/2009 9:08,4.25,15362.0,United Kingdom
40,489437,37370,RETRO COFFEE MUGS ASSORTED,12.0,12/1/2009 9:08,1.25,15362.0,United Kingdom
41,489437,10002,INFLATABLE POLITICAL GLOBE ,12.0,12/1/2009 9:08,0.85,15362.0,United Kingdom
42,489437,84507B,STRIPES DESIGN MONKEY DOLL,6.0,12/1/2009 9:08,2.55,15362.0,United Kingdom
43,489437,20703,BLUE PADDED SOFT MOBILE,3.0,12/1/2009 9:08,4.25,15362.0,United Kingdom
44,489437,21987,PACK OF 6 SKULL PAPER CUPS,12.0,12/1/2009 9:08,0.65,15362.0,United Kingdom
45,489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12.0,12/1/2009 9:08,0.85,15362.0,United Kingdom
46,489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12.0,12/1/2009 9:08,0.85,15362.0,United Kingdom
47,489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12.0,12/1/2009 9:08,1.25,15362.0,United Kingdom
